Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,Buy_Signal
Ticker,,,,,,,,,0
Date,,,,,,,,,0
2025-02-04,1702.17431640625,1707.0210219609323,1661.7688435247674,1670.3246232912106,14308251.0,,,,0
2025-02-05,1718.890380859375,1725.2206434143388,1700.1960148503242,1714.1425632011333,11837753.0,,,,0
2025-02-06,1724.87451171875,1729.968496849874,1705.2405309143412,1716.6153952446862,13380358.0,,,,0
2025-02-07,1713.895263671875,1747.772575910087,1706.2295944792868,1730.9575596166678,11754800.0,,,,0
2025-02-10,1697.080322265625,1704.6964875672104,1689.9092120593446,1698.6135044686043,8597975.0,,,,0
2025-02-11,1682.886474609375,1692.3819893844604,1670.3245954632955,1684.4690402815525,11362352.0,,,,0
2025-02-12,1688.227783203125,1693.371151956651,1662.9062488232378,1674.5778973496554,11404785.0,,,,0
2025-02-13,1679.2266845703125,1695.5966465320512,1675.121938764568,1680.5125871127052,6301217.0,,,,0
2025-02-14,1676.40771484375,1683.3810496024255,1661.7193270831162,1683.3810496024255,9979946.0,,,,0
2025-02-17,1698.662841796875,1701.2840302942786,1662.9556836815443,1666.8626539426798,6469473.0,,,,0
2025-02-18,1704.3009033203125,1712.708411673349,1687.584774328812,1694.4097170226223,8175455.0,,,,0
2025-02-19,1708.4056396484375,1718.9892813739957,1693.816139939549,1698.3166779770647,5942056.0,55.89884803611441,,,0
2025-02-20,1668.7420654296875,1696.0417162693425,1666.961724288724,1692.3820255278974,13195255.0,36.01722889946236,,,0
2025-02-21,1674.083251953125,1676.5065442573723,1658.9991931098252,1662.609500194494,7840470.0,39.15557106441428,,,0
2025-02-24,1658.850830078125,1665.873548202101,1643.0249319995226,1662.8073045977758,10346823.0,34.0292528817982,,,0
2025-02-25,1664.043701171875,1669.6322455735317,1652.9161165968144,1652.9161165968144,12069354.0,37.05475984727837,,,0
2025-02-27,1682.1939697265625,1692.1346600420295,1664.2415635700595,1664.2415635700595,17893400.0,46.32114222388443,,,0
2025-02-28,1713.5491943359375,1718.3463956986209,1666.6649456049367,1666.6649456049367,27258364.0,57.86188936676965,,,0
2025-03-03,1683.034912109375,1724.0833366917975,1675.665905612617,1720.8687010317285,10602682.0,47.22168308011911,,,0
2025-03-04,1691.392822265625,1695.646080583334,1674.825085556298,1679.5233989514802,9960479.0,49.937195748376354,1691.5461791992188,,0
2025-03-05,1671.6104736328125,1692.1841892974087,1669.8795160417726,1683.430392886249,10791936.0,44.14736439026695,1690.0179870605468,,0
